ascension_code,level,code,name,polarity,export_pct,as_submitted_pct,corrected_pct,export_eq_submitted,submitted_vs_corrected_delta
26012,question,A1,"In this unit, we work together as an effective team.",pos,87.9,87.9,87.9,yes,0.0
26012,question,A2,"In this unit, we have enough staff to handle the workload.",pos,58.1,58.1,58.1,yes,0.0
26012,question,A3,Staff in this unit work longer hours than is best for patient care.,neg,16.3,16.3,56.5,yes,40.2
26012,question,A4,This unit regularly reviews work processes to determine if changes are needed to improve patient safety.,pos,75.2,75.2,75.2,yes,0.0
26012,question,A5,"This unit relies too much on temporary, float, or PRN staff.",neg,17.4,17.4,61.7,yes,44.3
26012,question,A6,"In this unit, staff feel like their mistakes are held against them.",neg,14.1,14.1,61.4,yes,47.3
26012,question,A7,"When an event is reported in this unit, it feels like the person is being written up, not the problem.",neg,16.3,16.3,59.6,yes,43.3
26012,question,A8,"During busy times, staff in this unit help each other.",pos,89.6,89.6,89.6,yes,0.0
26012,question,A9,There is a problem with disrespectful behavior by those working in this unit.,neg,14.9,14.9,68.4,yes,53.5
26012,question,A10,"When staff make errors, this unit focuses on learning rather than blaming individuals.",pos,70.3,70.3,70.3,yes,0.0
26012,question,A11,The work pace in this unit is so rushed that it negatively affects patient safety.,neg,21.9,21.9,55.9,yes,34.0
26012,question,A12,"In this unit, changes to improve patient safety are evaluated to see how well they worked.",pos,69.8,69.8,69.8,yes,0.0
26012,question,A13,"In this unit, there is a lack of support for staff involved in patient safety errors.",neg,10.8,10.8,63.9,yes,53.1
26012,question,A14,This unit lets the same patient safety problems keep happening.,neg,9.4,9.4,71.6,yes,62.2
26012,question,B1,"My supervisor, manager, or clinical leader seriously considers staff suggestions for improving patient safety.",pos,81.2,81.2,81.2,yes,0.0
26012,question,B2,"My supervisor, manager, or clinical leader wants us to work faster during busy times, even if it means taking shortcuts.",neg,7.7,7.7,80.2,yes,72.5
26012,question,B3,"My supervisor, manager, or clinical leader takes action to address patient safety concerns that are brought to their attention.",pos,84.2,84.2,84.2,yes,0.0
26012,question,C1,We are informed about errors that happen in this unit.,pos,74.7,74.7,74.7,yes,0.0
26012,question,C2,"When errors happen in this unit, we discuss ways to prevent them from happening again.",pos,77.9,77.9,77.9,yes,0.0
26012,question,C3,"In this unit, we are informed about changes that are made based on event reports.",pos,75.2,75.2,75.2,yes,0.0
26012,question,C4,"In this unit, staff speak up if they see something that may negatively affect patient care.",pos,84.9,84.9,84.9,yes,0.0
26012,question,C5,"When staff in this unit see someone with more authority doing something unsafe for patients, they speak up.",pos,74.7,74.7,74.7,yes,0.0
26012,question,C6,"When staff in this unit speak up, those with more authority are open to their patient safety concerns.",pos,74.3,74.3,74.3,yes,0.0
26012,question,C7,"In this unit, staff are afraid to ask questions when something does not seem right.",neg,10.6,10.6,68.9,yes,58.3
26012,question,F1,The actions of hospital management show that patient safety is a top priority.,pos,67.7,67.7,67.7,yes,0.0
26012,question,F2,Hospital management provides adequate resources to improve patient safety.,pos,63.7,63.7,63.7,yes,0.0
26012,question,F3,Hospital management seems interested in patient safety only after an adverse event happens.,neg,39.9,39.9,32.6,yes,-7.3
26012,question,F4,"When transferring patients from one unit to another, important information is often left out.",neg,27.1,27.1,49.1,yes,22.0
26012,question,F5,"During shift changes, important patient care information is often left out.",neg,17.1,17.1,59.2,yes,42.1
26012,question,F6,"During shift changes, there is adequate time to exchange all key patient care information.",pos,74.3,74.3,74.3,yes,0.0
26012,composite,TW,Teamwork,,64.1,64.1,82.0,yes,17.9
26012,composite,Staffing,Staffing and Work Pace,,28.4,28.4,58.0,yes,29.6
26012,composite,OL,Organizational Learning-Continuous Improvement,,51.5,51.5,72.2,yes,20.7
26012,composite,NPRE,Response to Error,,27.9,27.9,63.8,yes,35.9
26012,composite,S/ME,Supervisor/Manager/Clinical Leader Support,,57.7,57.7,81.9,yes,24.2
26012,composite,FCE,Communication About Error,,75.9,75.9,75.9,yes,0.0
26012,composite,CO,Communication Openness,,61.1,61.1,75.7,yes,14.6
26012,composite,MSPS,Hospital Management Support for Patient Safety,,57.1,57.1,54.7,yes,-2.4
26012,composite,HT,Handoffs and Information Exchange,,39.5,39.5,60.8,yes,21.3
26013,question,A1,"In this unit, we work together as an effective team.",pos,95.7,95.8,95.8,yes,0.0
26013,question,A2,"In this unit, we have enough staff to handle the workload.",pos,72.3,72.9,72.9,yes,0.0
26013,question,A3,Staff in this unit work longer hours than is best for patient care.,neg,6.4,6.3,77.1,yes,70.8
26013,question,A4,This unit regularly reviews work processes to determine if changes are needed to improve patient safety.,pos,73.9,74.5,74.5,yes,0.0
26013,question,A5,"This unit relies too much on temporary, float, or PRN staff.",neg,6.7,6.5,71.7,yes,65.2
26013,question,A6,"In this unit, staff feel like their mistakes are held against them.",neg,6.5,6.4,74.5,yes,68.1
26013,question,A7,"When an event is reported in this unit, it feels like the person is being written up, not the problem.",neg,6.7,6.5,71.7,yes,65.2
26013,question,A8,"During busy times, staff in this unit help each other.",pos,95.7,95.7,95.7,yes,0.0
26013,question,A9,There is a problem with disrespectful behavior by those working in this unit.,neg,4.3,4.3,85.1,yes,80.8
26013,question,A10,"When staff make errors, this unit focuses on learning rather than blaming individuals.",pos,76.1,76.1,76.1,yes,0.0
26013,question,A11,The work pace in this unit is so rushed that it negatively affects patient safety.,neg,2.1,2.1,85.1,yes,83.0
26013,question,A12,"In this unit, changes to improve patient safety are evaluated to see how well they worked.",pos,71.7,71.7,71.7,yes,0.0
26013,question,A13,"In this unit, there is a lack of support for staff involved in patient safety errors.",neg,0.0,0.0,80.0,yes,80.0
26013,question,A14,This unit lets the same patient safety problems keep happening.,neg,4.3,4.3,80.9,yes,76.6
26013,question,B1,"My supervisor, manager, or clinical leader seriously considers staff suggestions for improving patient safety.",pos,87.0,87.0,87.0,yes,0.0
26013,question,B2,"My supervisor, manager, or clinical leader wants us to work faster during busy times, even if it means taking shortcuts.",neg,4.3,4.3,87.2,yes,82.9
26013,question,B3,"My supervisor, manager, or clinical leader takes action to address patient safety concerns that are brought to their attention.",pos,86.7,86.7,86.7,yes,0.0
26013,question,C1,We are informed about errors that happen in this unit.,pos,80.9,80.9,80.9,yes,0.0
26013,question,C2,"When errors happen in this unit, we discuss ways to prevent them from happening again.",pos,80.9,80.9,80.9,yes,0.0
26013,question,C3,"In this unit, we are informed about changes that are made based on event reports.",pos,71.1,71.1,71.1,yes,0.0
26013,question,C4,"In this unit, staff speak up if they see something that may negatively affect patient care.",pos,93.6,93.6,93.6,yes,0.0
26013,question,C5,"When staff in this unit see someone with more authority doing something unsafe for patients, they speak up.",pos,87.5,87.5,87.5,yes,0.0
26013,question,C6,"When staff in this unit speak up, those with more authority are open to their patient safety concerns.",pos,82.2,82.2,82.2,yes,0.0
26013,question,C7,"In this unit, staff are afraid to ask questions when something does not seem right.",neg,2.1,2.1,91.5,yes,89.4
26013,question,F1,The actions of hospital management show that patient safety is a top priority.,pos,87.2,87.2,87.2,yes,0.0
26013,question,F2,Hospital management provides adequate resources to improve patient safety.,pos,89.4,89.4,89.4,yes,0.0
26013,question,F3,Hospital management seems interested in patient safety only after an adverse event happens.,neg,19.1,19.1,63.8,yes,44.7
26013,question,F4,"When transferring patients from one unit to another, important information is often left out.",neg,7.0,7.0,81.4,yes,74.4
26013,question,F5,"During shift changes, important patient care information is often left out.",neg,2.7,2.7,89.2,yes,86.5
26013,question,F6,"During shift changes, there is adequate time to exchange all key patient care information.",pos,86.5,86.5,86.5,yes,0.0
26013,composite,TW,Teamwork,,65.2,65.3,92.2,yes,26.9
26013,composite,Staffing,Staffing and Work Pace,,21.9,22.0,76.7,yes,54.7
26013,composite,OL,Organizational Learning-Continuous Improvement,,50.0,50.2,75.7,yes,25.5
26013,composite,NPRE,Response to Error,,22.3,22.2,75.6,yes,53.4
26013,composite,S/ME,Supervisor/Manager/Clinical Leader Support,,59.3,59.3,87.0,yes,27.7
26013,composite,FCE,Communication About Error,,77.6,77.6,77.6,yes,0.0
26013,composite,CO,Communication Openness,,66.4,66.4,88.7,yes,22.3
26013,composite,MSPS,Hospital Management Support for Patient Safety,,65.2,65.2,80.1,yes,14.9
26013,composite,HT,Handoffs and Information Exchange,,32.1,32.1,85.7,yes,53.6
26016,question,A1,"In this unit, we work together as an effective team.",pos,94.4,94.4,94.4,yes,0.0
26016,question,A2,"In this unit, we have enough staff to handle the workload.",pos,56.5,56.5,56.5,yes,0.0
26016,question,A3,Staff in this unit work longer hours than is best for patient care.,neg,18.1,18.1,53.4,yes,35.3
26016,question,A4,This unit regularly reviews work processes to determine if changes are needed to improve patient safety.,pos,74.3,74.3,74.3,yes,0.0
26016,question,A5,"This unit relies too much on temporary, float, or PRN staff.",neg,21.6,21.6,58.4,yes,36.8
26016,question,A6,"In this unit, staff feel like their mistakes are held against them.",neg,12.5,12.5,64.5,yes,52.0
26016,question,A7,"When an event is reported in this unit, it feels like the person is being written up, not the problem.",neg,16.0,16.0,63.2,yes,47.2
26016,question,A8,"During busy times, staff in this unit help each other.",pos,93.1,93.1,93.1,yes,0.0
26016,question,A9,There is a problem with disrespectful behavior by those working in this unit.,neg,8.1,8.1,78.3,yes,70.2
26016,question,A10,"When staff make errors, this unit focuses on learning rather than blaming individuals.",pos,72.5,72.5,72.5,yes,0.0
26016,question,A11,The work pace in this unit is so rushed that it negatively affects patient safety.,neg,20.2,20.2,55.9,yes,35.7
26016,question,A12,"In this unit, changes to improve patient safety are evaluated to see how well they worked.",pos,69.3,69.3,69.3,yes,0.0
26016,question,A13,"In this unit, there is a lack of support for staff involved in patient safety errors.",neg,9.5,9.5,65.1,yes,55.6
26016,question,A14,This unit lets the same patient safety problems keep happening.,neg,12.0,12.0,70.3,yes,58.3
26016,question,B1,"My supervisor, manager, or clinical leader seriously considers staff suggestions for improving patient safety.",pos,82.5,82.5,82.5,yes,0.0
26016,question,B2,"My supervisor, manager, or clinical leader wants us to work faster during busy times, even if it means taking shortcuts.",neg,6.0,6.0,82.3,yes,76.3
26016,question,B3,"My supervisor, manager, or clinical leader takes action to address patient safety concerns that are brought to their attention.",pos,84.3,84.3,84.3,yes,0.0
26016,question,C1,We are informed about errors that happen in this unit.,pos,73.8,73.8,73.8,yes,0.0
26016,question,C2,"When errors happen in this unit, we discuss ways to prevent them from happening again.",pos,77.6,77.6,77.6,yes,0.0
26016,question,C3,"In this unit, we are informed about changes that are made based on event reports.",pos,69.5,69.5,69.5,yes,0.0
26016,question,C4,"In this unit, staff speak up if they see something that may negatively affect patient care.",pos,88.5,88.5,88.5,yes,0.0
26016,question,C5,"When staff in this unit see someone with more authority doing something unsafe for patients, they speak up.",pos,78.1,78.1,78.1,yes,0.0
26016,question,C6,"When staff in this unit speak up, those with more authority are open to their patient safety concerns.",pos,76.3,76.3,76.3,yes,0.0
26016,question,C7,"In this unit, staff are afraid to ask questions when something does not seem right.",neg,6.5,6.5,73.0,yes,66.5
26016,question,F1,The actions of hospital management show that patient safety is a top priority.,pos,68.0,68.0,68.0,yes,0.0
26016,question,F2,Hospital management provides adequate resources to improve patient safety.,pos,64.2,64.2,64.2,yes,0.0
26016,question,F3,Hospital management seems interested in patient safety only after an adverse event happens.,neg,38.4,38.4,41.3,yes,2.9
26016,question,F4,"When transferring patients from one unit to another, important information is often left out.",neg,19.4,19.4,60.9,yes,41.5
26016,question,F5,"During shift changes, important patient care information is often left out.",neg,10.7,10.7,75.5,yes,64.8
26016,question,F6,"During shift changes, there is adequate time to exchange all key patient care information.",pos,76.2,76.2,76.2,yes,0.0
26016,composite,TW,Teamwork,,65.2,65.2,88.6,yes,23.4
26016,composite,Staffing,Staffing and Work Pace,,29.1,29.1,56.0,yes,26.9
26016,composite,OL,Organizational Learning-Continuous Improvement,,51.9,51.9,71.3,yes,19.4
26016,composite,NPRE,Response to Error,,27.6,27.6,66.3,yes,38.7
26016,composite,S/ME,Supervisor/Manager/Clinical Leader Support,,57.6,57.6,83.0,yes,25.4
26016,composite,FCE,Communication About Error,,73.6,73.6,73.6,yes,0.0
26016,composite,CO,Communication Openness,,62.4,62.4,79.0,yes,16.6
26016,composite,MSPS,Hospital Management Support for Patient Safety,,56.9,56.9,57.8,yes,0.9
26016,composite,HT,Handoffs and Information Exchange,,35.4,35.4,70.9,yes,35.5
26042,question,A1,"In this unit, we work together as an effective team.",pos,86.8,86.8,86.8,yes,0.0
26042,question,A2,"In this unit, we have enough staff to handle the workload.",pos,27.3,27.3,27.3,yes,0.0
26042,question,A3,Staff in this unit work longer hours than is best for patient care.,neg,32.9,32.9,31.3,yes,-1.6
26042,question,A4,This unit regularly reviews work processes to determine if changes are needed to improve patient safety.,pos,58.6,58.6,58.6,yes,0.0
26042,question,A5,"This unit relies too much on temporary, float, or PRN staff.",neg,24.8,24.8,53.1,yes,28.3
26042,question,A6,"In this unit, staff feel like their mistakes are held against them.",neg,18.8,18.8,53.2,yes,34.4
26042,question,A7,"When an event is reported in this unit, it feels like the person is being written up, not the problem.",neg,21.0,21.0,48.2,yes,27.2
26042,question,A8,"During busy times, staff in this unit help each other.",pos,86.0,86.0,86.0,yes,0.0
26042,question,A9,There is a problem with disrespectful behavior by those working in this unit.,neg,20.5,20.5,58.3,yes,37.8
26042,question,A10,"When staff make errors, this unit focuses on learning rather than blaming individuals.",pos,62.1,62.1,62.1,yes,0.0
26042,question,A11,The work pace in this unit is so rushed that it negatively affects patient safety.,neg,37.0,37.0,36.8,yes,-0.2
26042,question,A12,"In this unit, changes to improve patient safety are evaluated to see how well they worked.",pos,52.7,52.7,52.7,yes,0.0
26042,question,A13,"In this unit, there is a lack of support for staff involved in patient safety errors.",neg,21.2,21.2,44.0,yes,22.8
26042,question,A14,This unit lets the same patient safety problems keep happening.,neg,23.9,23.9,50.8,yes,26.9
26042,question,B1,"My supervisor, manager, or clinical leader seriously considers staff suggestions for improving patient safety.",pos,71.3,71.3,71.3,yes,0.0
26042,question,B2,"My supervisor, manager, or clinical leader wants us to work faster during busy times, even if it means taking shortcuts.",neg,13.2,13.2,67.3,yes,54.1
26042,question,B3,"My supervisor, manager, or clinical leader takes action to address patient safety concerns that are brought to their attention.",pos,75.5,75.5,75.5,yes,0.0
26042,question,C1,We are informed about errors that happen in this unit.,pos,65.9,65.9,65.9,yes,0.0
26042,question,C2,"When errors happen in this unit, we discuss ways to prevent them from happening again.",pos,66.4,66.4,66.4,yes,0.0
26042,question,C3,"In this unit, we are informed about changes that are made based on event reports.",pos,58.6,58.6,58.6,yes,0.0
26042,question,C4,"In this unit, staff speak up if they see something that may negatively affect patient care.",pos,78.8,78.8,78.8,yes,0.0
26042,question,C5,"When staff in this unit see someone with more authority doing something unsafe for patients, they speak up.",pos,67.4,67.4,67.4,yes,0.0
26042,question,C6,"When staff in this unit speak up, those with more authority are open to their patient safety concerns.",pos,66.5,66.5,66.5,yes,0.0
26042,question,C7,"In this unit, staff are afraid to ask questions when something does not seem right.",neg,9.7,9.7,66.6,yes,56.9
26042,question,F1,The actions of hospital management show that patient safety is a top priority.,pos,49.2,49.2,49.2,yes,0.0
26042,question,F2,Hospital management provides adequate resources to improve patient safety.,pos,40.8,40.8,40.8,yes,0.0
26042,question,F3,Hospital management seems interested in patient safety only after an adverse event happens.,neg,45.2,45.2,29.2,yes,-16.0
26042,question,F4,"When transferring patients from one unit to another, important information is often left out.",neg,34.7,34.7,38.7,yes,4.0
26042,question,F5,"During shift changes, important patient care information is often left out.",neg,25.2,25.2,47.2,yes,22.0
26042,question,F6,"During shift changes, there is adequate time to exchange all key patient care information.",pos,56.1,56.1,56.1,yes,0.0
26042,composite,TW,Teamwork,,64.4,64.4,77.0,yes,12.6
26042,composite,Staffing,Staffing and Work Pace,,30.5,30.5,37.1,yes,6.6
26042,composite,OL,Organizational Learning-Continuous Improvement,,45.1,45.1,54.0,yes,8.9
26042,composite,NPRE,Response to Error,,30.8,30.8,51.9,yes,21.1
26042,composite,S/ME,Supervisor/Manager/Clinical Leader Support,,53.3,53.3,71.4,yes,18.1
26042,composite,FCE,Communication About Error,,63.7,63.7,63.7,yes,0.0
26042,composite,CO,Communication Openness,,55.6,55.6,69.8,yes,14.2
26042,composite,MSPS,Hospital Management Support for Patient Safety,,45.1,45.1,39.7,yes,-5.4
